id,topic,summary
49,Professor behavior,Ross and Monica are talking about the professor's behavior. Ross thinks it's not against the rules but it's frowned upon. Joey thinks it's important to follow your heart and tells Ross he can leave a block of time open for Thursday. Ross thinks it's okay but Monica thinks it's bad.
50,A robot,#Joey# is worried about getting fired because #Joey# loves #Wayne# and #Joey# thinks #Joey# should give #Joey# a second chance. #Joey# is shocked when #Joey# touches #Joey#'s little robot buddy.
51,Apology,Ross apologizes to Rachel for throwing her out of his office. Rachel tells Ross that she doesn't have the time to be with him. Ross tells Rachel that he doesn't feel like he has a girlfriend anymore.
52,Tell a secret,"#Phoebe# tells #Monica# she can't tell #Monica# something because she promised not to. #Phoebe# then tells #Monica# she promised not to tell #Monica# something about Ross and Rachel, Joey, Chandler, and the sock."
53,Tell her you love her,Richard comes to Monica's place to tell her he still loves her. Monica asks him what's the matter. Richard tells her he came here to tell her he still loves her.
54,Having a baby,"Joey and Dina are talking about having a baby with Joey being mad at Dina. Dina wants her baby to have her uncle, but Joey thinks it's better to have his uncle. Rachel tells Dina she can do it, but Dina is scared. Rachel tells her she can stand it and they'll be all right."
55,Dinner with the family,#Danny# invites Rachel to have a dinner with his sister Krista and his sister. Krista thinks #Danny# is bad and tells #Danny# he is. #Danny# thinks Krista is dead.
56,Trapped in an ATM vestibule,"Chandler and Jill are trapped in an ATM vestibule with Jill Goodacre. Jill says Jill is fine, but Chandler thinks Jill is with a guy."
57,Ask not to ask,#Chandler# asks #Chandler# not to ask #Chandler# out because #Chandler# is not gay.
58,Personal shopping,Monica and Joey are talking about personal shopping. Phoebe thinks it's great. Monica thinks it's a gravy train.
59,Teamwork,Doug tells the team that they all go up. #Doug# and #Doug# congratulate the team on their work.
61,Get on out of here,#Doug# asks #Chandler# to get on out of here because #Doug# forgot something else too. #Chandler# agrees to get on out of here.
62,Work with them,Chandler thinks Bob doesn't have what it takes to work with them. Mr. Franklin thinks Bob is good and Bob thinks he doesn't have what it takes.
63,Wedding dress,Ross tells Chandler that he got a Batman's tux for Chandler's wedding. Chandler thinks Ross can't wear it because it's not special.
64,Find a wedding performer,Chandler and Monica are trying to find someone to perform their wedding. Phoebe suggests they get a gay person to perform it. Joey thinks it's a real thing and thinks it's a good idea. Chandler and Joey argue about it.
65,Future talk,Ross tells Rachel that he sees big passion in her future.
66,Spill the ink,#Phoebe# tells Monica that she got a dot of ink on one of the sofa cushions. Monica thinks it's her fault. #Phoebe# tells her it's not her fault and asks Monica to be friends.
67,Homelessness,#Rachel# is homeless because #Ross# is broke. #Ross# tells #Rachel# he will help #Rachel# get a job and he will pay her rent. #Rachel# is overjoyed and tells #Phoebe# the same thing happened to her.
68,Hire a new employee,#Joey is hired by the director.
69,Latte making,#Janice# is still working on her latte. #Chandler# and #Phoebe# are talking about the brutal hug.
70,Trade for canoe,#Tony# and #Chandler# trade the canoe for the entertainment center.
71,New job,Rachel calls Pheebs to ask her about the new job. Pheebs tells Rachel that she is going to work in a new company.
72,Fake ticket,#Chandler# needs a fake ticket to Yemen. #Ticket Counter Attendant# asks #Chandler# what he wants to give to a kid if he wants a ticket to play with. #Chandler# tells #Ticket Counter Attendant# he'll give #Ticket Counter Attendant# a library card.
73,Last time,#Chandler# and #Joey# are talking about the last time they saw a chick-chick. #Chandler# thinks it's a she and can't tell. #Joey# is meeting the cast for drinks and #Chandler# is going to change.
74,Pick a friend,#Joey# and Phoebe pick Chandler because he's sensitive.
75,,
76,Europe story,Ross tells Rachel about the Europe story. Rachel thinks it would've happened either way. Ross thinks it was amazing.
77,Baby name,Rachel calls the baby girl Baby Girl Green. Dr. Long thinks it's fine for now and calls her Baby Girl Geller-Green.
78,Jump on the women,Ross jumps on the women and #Phoebe and #Rachel are angry.
79,Stain food,#Rachel# is worried about the stain on the food. #Joey# reassures her that it's fine.
80,Bed scene,Rachel asks Joey if the bed where Olivia lost her virginity is the same bed where Joey's scenes were filmed. Joey tells her Christian Sanders did some gay stuff in the bed.
81,A surprise party,#Monica tells #Joey# that Ross is planning her surprise party. #Joey# tells #Phoebe# about it. #Phoebe# thinks #Monica# is the last one to know stuff.
82,A wedding,"Chandler doesn't know his father and doesn't even know the man. Phoebe thinks he should be at the wedding, but Chandler thinks he doesn't run in the same circles. Phoebe wants to trade circles."
83,Meet a stranger,Joey introduces himself as Kurt Douglas. #Charlton Heston is surprised to see him.
84,Marry joshua,Rachel is angry with Phoebe and Monica because they are talking about getting married to Joshua. Rachel tells them to relax and she'll marry him.
85,Read a book,#Rachel# is late because #Rachel# left late. #Rachel# asks #Phoebe# about the book #Rachel# read in high school. #Phoebe# says it's about a girl who's a cheerleader and she's on top of the pyramid but then she's not.
86,Marijuana cigarettes,#Rachel# asks #Nancy# to bum one of the marijuana cigarettes. #Rachel# thinks they are crazy because they smoke the regular ones all the time.
87,Wedding talk,#Ross# and #Rachel# are talking about the wedding. #Ross# says he's fine but #Rachel# worries about #Ross#'s health. #Phoebe# tells #Monica# and #Joey# about #Ross#'s health.
88,Microphone in the classroom,Phoebe tells Rachel that she is right and Rachel agrees.
89,A bad dream,#Joey is disappointed to find out he has to stay up all night before he goes to the sleep clinic. #Rachel tells him Joshua and #Rachel rushed into this thing and they're gonna call the whole thing off.
90,Find a package,Phoebe finds a strange package in her room.
91,Birthday gifts,Phoebe complains about the things she bought for her birthday.
92,Gift giving,#Phoebe# is complaining about the gifts she received.
93,Ask for a date,#Chandler# asks #Monica# to go out with him. #Chandler# has a canned goods and a hole dug by #Joey# in the ground. #Chandler# thinks #Joey# has a hole in his head.
94,Discuss drinking,#Rachel# and #Joanna# are talking about #Rachel#'s drinking habit. #Rachel# thinks #Joanna# is a horrible person and wants to leave. #Joanna# offers #Rachel# a position as an assistant buyer.
95,A date,"Rachel tells Monica that she got two male nurses to take them out on Saturday night. Monica doesn't want to go because she's been telling Rachel to move on. Rachel tells Monica that if they're still there when the nurses get off, they'll go to the cafeteria."
96,Make an appointment,#Monica# calls to #Monica# to ask about the time of the appointment.
97,Play with toy,#Rachel and #Ross are playing with #Ross' new toy. #Rachel thinks it's too dangerous for her to play with it.
98,Open the beer,Chandler asks the magician to open his beer with his cheeks.
99,Talk about the wedding,#Chandler# and Monica are talking about their wedding. They decide not to sleep together before the wedding because they're not ready. Then they talk about their wedding and they decide to have lunch with Cassie.
100,Third nipple,#Ross# shows the doctor his run-of-the-mill third nipple.
103,Hiking stories,Ross tells Kristen he was backpacking across Western Europe and he was hiking along the foothills of Mount Tibidaybo. Kristen loves hiking.
104,Congratulations on marriage,#Janice# congratulates #Rachel# and #Jim# on their marriage. #Rachel# tells #Janice# they didn't get married because they didn't have the money.
105,,
106,Having a baby,Janice and Ross are having a baby together but they're not in the place yet. Janice asks Ross to shut her up.
107,Credit card issue,Ross and Monica are talking about the credit card issue. Ross thinks Chi Chi is a bad influence on Monica. Ross tells Phoebe to credit Monica's account with five hundred dollars.
108,Work problem,Rachel tells Chandler that she and Joey worked things out and they're meant to be together.
109,Lap dance,Monica asks #Chandler# to put some ones in Phoebe's panties. #Phoebe# is happy that Joshua didn't call. Rachel tells #Rachel# that Joshua is happy in Vermont. #Chandler# thinks #Chandler# should call Janice.
110,Taste of nutmeg,#Monica# tells Phoebe #Joey# she definitely tastes nutmeg. #Joey# thinks #Monica# is arrogant.
111,Sexual intercourse,Joey tells Chandler that he had sex with a woman and he didn't want to hurt her. Chandler thinks he's a man-child.
112,Home and work,"Ross tells Phoebe that #Ross# wants to be able to come and go whenever #Ross# wants and #Ross# doesn't want naked, greasy strangers in #Ross#'s apartment. Phoebe thinks it's a big deal."
113,Ross and Chandler,Ross tells Monica that Chandler is not going to hurt them because he's not going to leave him alone. Monica thinks Ross should be more responsible and asks Chandler to look after Ross.
114,Watch a movie,Joey and Chandler are watching a movie about a museum. They think it's better to watch it in a museum than in a movie theater.
115,See the king,#Jester# tells #Monica# that there's nothing he can do about the racecar bed. #Joey# and #Janice# want to see the king. #Jester# tells #Joey# and #Janice# they can't go back there.
116,School and space,#Ross# tells #Sarah# #Ross# gets a couple of days off school and #Ross# doesn't have to sell the cookies anymore. #Sarah# likes space stuff and #Ross# thinks #Sarah# would have to clean a lot of apartments to go to India.
117,Going to a restaurant,"Richard asks Monica to go to a restaurant with him. Monica thinks it's too soon, but Richard insists that it's not too soon."
118,Invent a game,Chandler and Ross argue about Chandler's invention of Cups. Chandler thinks Ross is an idiot and wants to get his money back.
119,Find the apartment,#Joey# thinks Monica's apartment is impossible to find because it's in a parallel universe.
120,The apartment game,"#Monica's game of the apartment is going well. Rachel thinks Monica has the answers written on her hand but Monica doesn't. #Ross, Joey, and Chandler are up first. Monica claims Rachel's favorite movie is Weekend at Bernie's."
121,Do their phase two strip club thing,#Phoebe# and #Monica# want to do their Phase Two strip club thing with them. #Chandler# refuses.
122,A date,#Monica# tells #Rachel# that #Monica# has only gone out with two guys in the last year. #Rachel# thinks #Monica# should get #Rachel# out of the game. #Rachel# thinks #Monica# should go out with Pete.
123,Six-foot-long human,"#Ross# and #Chandler# argue about the possibility of a six-foot-long human. #Ross# thinks it's funny, but #Chandler# disagrees."
124,Moving to a new place,Ross tells Chandler that he misses his apartment. Ross is really happy about the apartment but he wishes he didn't have to move.
125,Time to go home,#Ross# and #Emily# are talking about the time they have left to go home. #Ross# thinks they can do anything in 17 minutes.
126,Morning person,#Rachel# tells #Joey# and #Monica# that #The Singing Man# is a morning person. #Rachel# hates #The Singing Man#'s small room and the fact that #The Singing Man# sleeps on the floor.
127,Go to a clinic,#Chandler# is going to a clinic to have a check-up. #Chandler# thinks it's a good idea to go to a pyjama store and a clinic at the same time.
128,Pressure talk,#Phoebe and #Monica are talking about the pressure. #Phoebe tells #Monica that #Phoebe is good at it. #Monica enjoys it.
129,Discuss the review,#Kate# tells #Joey# #The Director# dumped #Kate# after #Kate# read the review. #Joey# tells #Kate# #Joey# gave up de-clawing cats. #Joey# also tells #Kate# #Joey# will burn every copy of the Post.
130,A date,#Rachel# invites Joey to go out with her because she thinks he needs a friend. Joey thinks it's a waste of money and asks for some money. Rachel agrees and Joey takes Tag to a ball game.
131,Litter box problem,#Joey and #Monica are talking about the problem of odour in the litter box. #Joey suggests changing the litter box.
132,Invitation and dinner,#Mark# invites #Rachel# to his apartment to talk about the anniversary dinner. #Rachel# is not hungry and tells #Mark# to bring Chinese food.
133,Pick up a car,Chandler calls the police to pick up a car that has been broken into.
134,Report a theft,Chandler calls the police station to report a theft.
135,Baby left on a bus,#Joey# tells #Chandler# about the baby left on a bus.
136,Introduce yourself,#Ross# introduces himself to #Joey# and tells #Joey# he is a professor.
137,Applying for apartment,Ross Geller is one of the people who applied for the apartment. Ross compliments #Ross#'s nakedness and says he applauds it.
138,A secret,#Rachel# tells Monica that she made out with James Farrell when she knew that Monica liked Chandler. Monica tells #Rachel# that she called Chandler Mr. Bigot.
139,A test,#Phoebe# thinks Monica's argument is good. But Monica got cut off and thinks Phoebe is a bad friend.
140,Eat a talking gorilla,"Phoebe asks Cliff which one he'd rather eat, a seeing eye dog or a talking gorilla. Cliff answers he'd rather have a talking gorilla."
141,Find someone,#Mr. Franklin# tells #Chandler# Bob will stay put. #Chandler# thinks it's best to find someone up here. #Mr. Franklin# suggests throwing the documents in the shedder and claiming he never got them.
142,Introduction of Julie,#Ross# introduces Julie to the group.
143,Food and football,"#Phoebe, #Rachel, and #Joey are talking about football. #Phoebe thinks they should bring some food to the game."
144,A letter,Joey asks Tag for a letter from Rachel. Tag tells Joey that Rachel is too many women.
145,Dishwasher,Chandler and Monica are talking about the dishes. Chandler is doing the dishes because he wants to be in a restaurant. Joey thinks Chandler is looking into their apartment and he feels creepy. Chandler doesn't know why he's doing the dishes.
146,Discuss a problem,Phoebe calls Monica to ask her to call her friend. Phoebe says she can't because her friend dumped her.
147,A date,Ross and Chandler are talking about Ross and Monica's date. Ross thinks it's a date and Rachel thinks it's a laundry date. Ross thinks Rachel is wrong and Chandler thinks Ross is wrong.
148,New table,Chandler and Joey are talking about the new table they bought. They talk about the breakfast with Angela Delvecchio. Then they talk about the roommate they had before. Chandler thinks Kip was a better roommate than Joey.
149,A massage appointment,#Phoebe# has to go to a massage appointment. #Eric# will pay her.
150,Apologize,#Ross apologizes to #Dr. Green for knocking up #Dr. Green's daughter. #Dr. Green is angry and threatens to kill #Ross.
151,Stay married,#Ross# asks Rachel to stay married. Rachel thinks it's amazing but #Ross# thinks it will affect her. Rachel agrees to stay married as long as #Ross# asks her to.
152,A mess,#Paul# and #Monica# are talking about #Paul#'s brother's mess. #Paul# broke his brother's watch accidentally. #Rachel# apologizes for #Rachel#'s behavior.
153,Girls' night out,#Ross# tells #Phoebe# that #Ross# and Susan are going out to have a girls' night out. #Phoebe# asks #Ross# what they're doing. #Ross# tells #Phoebe# they're going to have a girls' night out. #Mr. Heckles' oboe practice is disturbing.
154,Service in the store,Ross and Mark are arguing about the service in the store. Ross tells Mark to get off Rachel.
155,Invitation,Ross invites Mona to see a Ukrainian film. Mona asks for one more cup of coffee.
156,Pregnant woman,#Phoebe# calls the father to meet Rachel and tells him that Rachel is pregnant. #Phoebe# asks Rachel to turn around or she will rip the Band-Aid off.
157,Tickets for concert,Chandler and Phoebe are talking about the tickets to the concert.
158,Room inspection,Mr. Geller asks Joey to peek at the room. Joey refuses.
159,Tell about Chandler,Joanna tells Rachel that Chandler is fantastic and has a good heart.
160,Good bye,Ross tells Rachel that Mark is leaving for a better job. Rachel is sad and Ross comforts her.
161,A favor,#Ross# asks #Chandler# to keep an eye on Joey.
162,Check in at the hotel,#Ross# and #Rachel# are checking in at the hotel.
163,Marriage and Chandler,Joey tells Monica that Chandler hates marriage. Monica tells Joey that Richard told her that Chandler hates marriage.
164,A crush,#Ross# tells Rachel #Ross#'s crush on her back in high school. #Ross# thinks it's okay to ask Rachel out but Rachel is a little hesitant.
165,Buy a tv,#Chandler# buys a TV for #Joey# and tells #Joey# to focus on one woman. #Joey# thinks Kathy is pretty cool and #Chandler# suggests they fix #Joey# and #Chandler# up.
166,Janice's return,#Chandler# calls #Monica# because he saw Janice.
167,Jealousy,#Phoebe# and #Chandler# are jealous of #Joey# and #Phoebe# thinks #Joey# is better than #Phoebe#. #Ross# tells #Phoebe# to stay beside #Joey# because #Ross# thinks #Phoebe# is jealous of #Joey#.
168,Draw on face,Ross tells Rachel that he used her pen to draw on her friend's face. Rachel thinks it's bad and tells Ross that he should have fun. Ross thinks it's not that bad.
169,Busty ladies,#Ross# asks #Rachel# to pick up the Busty Ladies magazine for him.
170,Sexual advances,#Monica# is shocked when #Joey# asks her to come in for some lemonade. #Monica# thinks #Joey# is a jerk.
171,Relationship story,#Ross# asks Rachel to tell him the story of their relationship. Rachel tells #Ross# that she has been thinking about getting married to him for a while.
172,Wedding talk,David and Chandler are talking about the wedding. David tells Chandler he will do it at some point. Chandler asks David if he will invite him to the wedding.
173,A road trip,#Phoebe# and #Joey# are on a road trip. #Phoebe# asks #Joey# to sing to her and #Joey# is reluctant.
174,Music criticism,#1st Customer# and #2nd Customer# are satisfied with the food. #3rd Customer# complains about the music.
175,A magnificent dinner,Chandler tells Rachel that he's nine years old and has just finished a magnificent Thanksgiving dinner. But his parents are getting divorced.
176,Nana and granddaughter,Ross tells Rachel that he is Nana and Monica is Nana's granddaughter. Monica says she looks like her grandmother.
177,Call for help,Rachel calls Phoebe to tell her that she wants to get back together with #Tag#. Phoebe thinks it's not the right time but #Tag# insists that it is.
178,Favorite returning male character,#Joey# is shocked by the category of Favorite Returning Male Character.
179,Car driving,Rachel tells the policeman she's an Aquarius and he thinks she's a Gemini. Rachel tells him she's not a Gemini and she's not a Taurus either. She tells him she won't speed and she promises to get the car taken care of.
180,In labor,#Janice tells #Chandler that #Janice is in labor and has a very wide pelvis. #Chandler thinks it's funny.
181,Break the window,#Joey# is starving and #Ross# thinks someone's home. #Ross# suggests they break the window and crawl through.
182,Dating plan,#Rachel# is angry at #Monica# because she saw Danny getting on the subway with a girl. #Rachel# thinks #Monica# meddled in their relationship and #Rachel# will go on the date.
183,Introduce Duncan,Phoebe introduces Duncan to her. Duncan says he missed her and asks Phoebe to change his clothes. Phoebe tells Duncan she's spooky that way.
184,Party invitation,#Jane# calls Joey to invite him to her one-woman show. Joey doesn't want to go because he has to work. #Rachel# asks why he didn't tell her. #Joey# says he doesn't have to tell her because he does it every year.
185,Ross remembers,Ross remembers Rachel's grandmother's pin and tells Rachel that it's just like one Rachel had when she was a little girl. Rachel is shocked and Monica and Chandler tease Ross.
186,Breakfast in bed,#Phoebe# and #Gary# are having breakfast in bed. #Phoebe# suggests they stay in bed all day.
187,Meet again,#Rachel# and Bonnie meet again. Bonnie tells #Rachel# she just started wearing bras again.
188,Movie discussion,#Rachel# and #Ross# are talking about Jurassic Park. #Rachel# thinks it's a good movie and #Ross# thinks it's a bad movie.
189,Trash chute,Ross got stuck in the trash chute and #Joey# and #Rachel# think he's been hooking up. #Ross# tells #Monica# he went to a bar and then walked around.
190,Future plans,Chandler and Joey are talking about their future plans. Chandler thinks he will marry Phoebe and Joey thinks they'll have kids.
191,Go for a drink,#Joey# invites #Woman# and #Woman# agrees. #Joey# shows #Woman# his Porsche and invites them to go for a drink.
192,Dying wish,#Ross# tells #Rachel# that the old lady died and left the apartment to #Ross#. #Ross# thinks it's great but #Rachel# thinks it's disgusting.
193,Cat's jingle,Phoebe tells Leslie she can't sell the cat's jingle because it's not her fault.
194,Music discussion,#Phoebe and Leslie talk about the music they like. #Phoebe plays a sad song.
195,Coffee talk,Ross and Rachel are talking about coffee. Ross thinks he can't go up to Isabella Rosselini because he's afraid of rejection. Rachel thinks he should go for it because he's been waiting for ten years. Ross is about to hit on Isabella Rosselini.
196,Dance around,#Ross# and #Monica# are dancing. #Ross# asks #Monica# to dance around with him.
197,Introduce yourself,#Joey's hand twin introduces himself to #Ross. #Joey thinks he knows him.
198,Swap seats,#Phoebe# and #Rachel# switch their seats.
199,Charity talk,Rachel tells Phoebe and Chandler that the charity was a big success and they raised a lot of money and awareness.
200,Freeze him out,#Ross# and #Joey# are angry with #Ross#'s boyfriend who doesn't want to talk about being angry. #Ross# and #Joey# decide to freeze him out.
201,Talk about spring vacation,#Elizabeth# tells Ross that #Elizabeth# is going to Florida for a couple weeks. Ross thinks #Elizabeth# misunderstood him.
202,Babies' problems,#Chandler# and #Phoebe# are talking about the babies. #Monica# is worried about her apartment. #Chandler# tells #Phoebe# to take care of the babies all by herself. #Monica# thinks that this is what will happen when #Chandler# and #Phoebe# have babies.
203,Baby's kicking,Ross and Rachel are talking about the baby. Ross tells Rachel that the baby is kicking last night.
204,Job talk,"#Rachel# tells #Joanne# and #Kiki# about her job as a waitress. #Rachel# is not just waitressing, but she also writes the specials on the specials board and takes the dead flowers out of the vase."
205,Pick up and drop off,#Rachel# picks up #Rachel# and #Monica# from the airport and tells #Rachel# that #Fireman No. 3# will pick them up.
206,Name of the son,Ross and Susan are talking about their son's name. Susan says her son's name is Jamie. Ross says he doesn't have a son named Jordie. Susan says she got it. Ross says he started it. Carol wants them out.
207,Talk about a conversation,#Monica# can also speak a little French and asks #Mischa# to go to bed with her tonight. #Phoebe# is fascinated by what Boutros Boutros Gali said in the New York Times and wants to tell Sergei that she likes his suit. #Monica# is also thinking about opening up her own restaurant.
208,Top of the mountain,"#Joey, Danny, Chandler, Krista, and Rachel are on the top of the mountain. #Joey forgot the camera and got a stain on his pants. #Chandler thinks they're brother and sister."
209,,
210,Find the picture,Richard finds the picture of his wife in Joey's pack. #Richard# thinks they were lovers for two years and #Joey# soaked him.
211,Wedding plans,#Mr. Geller tells #Mrs. Geller that #Mr. Geller got Judy pregnant. #Mrs. Geller thinks #Mr. Geller's dog thought her diaphragm was a chew toy. #Mrs. Geller tells #Mr. Geller they're excited about their wedding plans.
212,Apply the waxine and linen strips,"#Phoebe# and #Monica# are applying the Waxine and linen strips to leg number one. #Phoebe# thinks it's painful, but #Monica# thinks it's okay."
213,Sing along,#Ross# is singing the song with #Chandler# and #Ross# thinks #Chandler# is singing along.
214,A conference,#Phoebe# tells #David# that she was in love with David and broke his heart. #David# is in town for a conference. #Phoebe# asks #David# about his haircut.
215,Santa's coming,Ross tells his mother that Santa is coming.
216,Apologize,Ross apologizes for the incident in the cafeteria. Joey thinks it's no big deal.
217,Party invitation,Joey tells his friend that he is not interested in going to the party.
218,Work and play,"Ross and Monica are talking about their jobs. Ross thinks Monica's eating alone is no big deal, but Joey thinks it's not cool. Ross will see Joey tomorrow."
219,The worst Thanksgiving experience,"#Joey, Ross, Monica, and Chandler are talking about their worst Thanksgiving experiences. Monica recalls the time when Ross tried to say 'butternut squash' and it came out'squatternut buash'."
220,Apology,Phoebe apologises to Rachel and Monica for being edgy at her shower.
221,Parents' out of town,Joshua tells Rachel that their parents are out of town.
222,Divorce news,Doug tells Monica and Chandler that he and Carol are divorced. Monica doesn't want to spend another evening with Doug. Monica tells Doug that she doesn't want to spend another evening with him.
223,Cooking equipment,Monica wants to borrow the broiling pan that Chandler used to cook the duck. Chandler tells her it will be 4-6 weeks. Monica thinks she'll pass.
224,Invite someone,Jake invites Joey to the game.
225,A new battery,Ross tells Carol that he got her a new battery. Carol pays him tomorrow. Ross is going to take off.
226,A party,"#Danny's friend Tom introduces himself to Rachel, who thinks he's a spy. #Danny will go mingle. #Rachel thinks #Danny's friend is a spy and tells #Monica that."
227,Summer plans,Joey asks Pheebs about her plans for the summer.
